title,author,is_loaned,copies,genre,year,loaned_count,waiting_list,copies_available,popularity_count
To Kill a Mockingbird,Harper Lee,True,2,Fiction,1960,2,,0,2
1984,George Orwell,True,5,Dystopian,1949,5,,0,5
Pride and Prejudice,Jane Austen,True,3,Romance,1813,3,,0,3
Crime and Punishment,Fyodor Dostoevsky,True,1,Psychological Drama,1866,1,,0,1
The Divine Comedy,Dante Alighieri,True,1,Epic Poetry,1320,1,,0,1
Anna Karenina,Leo Tolstoy,True,2,Fiction,1877,2,,0,2
The Iliad,Homer,True,1,Epic Poetry,-750,1,,0,1
Invisible Man,Ralph Ellison,True,1,Fiction,1952,1,,0,1
Beloved,Toni Morrison,True,3,Historical Fiction,1987,3,,0,3
Slaughterhouse-Five,Kurt Vonnegut,True,2,Science Fiction,1969,2,,0,2
Heart of Darkness,Joseph Conrad,True,3,Adventure,1899,3,,0,3
Of Mice and Men,John Steinbeck,True,1,Tragedy,1937,1,,0,1
The Hobbit,J.R.R. Tolkien,True,4,Fantasy,1937,4,,0,4
The Lord of the Rings,J.R.R. Tolkien,True,2,Fantasy,1954,2,,0,2
A Game of Thrones,George R.R. Martin,True,5,Fantasy,1996,5,,0,5
Mistborn: The Final Empire,Brandon Sanderson,True,4,Fantasy,2006,4,,0,4
The Odyssey,Homer,True,2,Epic Poetry,-800,2,,0,2
