title,author,is_loaned,copies,genre,year,request,loaned_count,waiting_list,copies_available
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,2,aa,22,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
amit,aa,False,2,Classic,22,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
amit,aa,False,4,Classic,22,0,0,,4
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,2,aa,22,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
amit,aa,False,2,Classic,22,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
amit,aa,False,4,Classic,22,0,0,,4
ss,sss,False,2,sss,222,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,2,aa,22,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
amit,aa,False,2,Classic,22,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
wwwwwwww,wwwwwww,False,2,Classic,2020,0,0,,2
aa,aa,False,4,aa,22,0,0,,4
amit,aa,False,4,Classic,22,0,0,,4
ss,sss,False,4,sss,222,0,0,,4
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
aa,amit,False,2,amih,2020,0,0,,2
a,wre,False,1,rw,2012,0,0,,1
a,wre,False,1,rw,2012,0,0,,1
